Вопрос,Ответы,Правильный ответ
Чему равен корень из 16?,2;4;8;16,4
Сколько градусов в прямом угле?,45;90;180;360,90
Найдите значение выражения: 2 + 2 * 2,4;6;8;10,6
Решите уравнение: x + 5 = 12,5;6;7;8,7
Чему равна сумма углов треугольника?,90;180;270;360,180
Найдите значение выражения: (10 - 2) * 3,21;24;27;30,24
"Какой следующий элемент последовательности: 1, 4, 9, 16, ...?",20;25;30;36,25
Найдите площадь квадрата со стороной 5 см,20;25;30;35,25
Сколько минут в трёх часах?,60;120;180;240,180
Как называется многоугольник с пятью сторонами?,Треугольник;Четырёхугольник;Пятиугольник;Шестиугольник,Пятиугольник
